comentario,sentimento
Experiência excelente no setor de ressonância.,1
Laudo demorou mais do que o esperado.,0
Demora na entrega do laudo.,0
Atendimento rápido e eficiente.,1
Demora para realização do exame.,0
Laudo demorou mais do que o esperado.,0
Ambiente limpo e organizado.,1
Falta de comunicação na recepção.,0
Equipe muito atenciosa durante o exame.,1
Laudo demorou mais do que o esperado.,0
Falta de comunicação na recepção.,0
Demora para realização do exame.,0
Atendimento rápido e eficiente.,1
Experiência excelente no setor de ressonância.,1
Demora para realização do exame.,0
Experiência excelente no setor de ressonância.,1
Falta de comunicação na recepção.,0
Experiência excelente no setor de ressonância.,1
Equipe muito atenciosa durante o exame.,1
Equipe muito atenciosa durante o exame.,1
Equipe muito atenciosa durante o exame.,1
Falta de comunicação na recepção.,0
Demora para realização do exame.,0
Ambiente limpo e organizado.,1
Demora para realização do exame.,0
Ambiente limpo e organizado.,1
Demora para realização do exame.,0
Experiência excelente no setor de ressonância.,1
Demora para realização do exame.,0
Equipe muito atenciosa durante o exame.,1
Ambiente limpo e organizado.,1
Equipe muito atenciosa durante o exame.,1
Laudo demorou mais do que o esperado.,0
Ambiente limpo e organizado.,1
Ambiente limpo e organizado.,1
Falta de comunicação na recepção.,0
Experiência excelente no setor de ressonância.,1
Atendimento rápido e eficiente.,1
Demora na entrega do laudo.,0
Atendimento rápido e eficiente.,1
Demora na entrega do laudo.,0
Demora para realização do exame.,0
Demora na entrega do laudo.,0
Experiência excelente no setor de ressonância.,1
Atendimento rápido e eficiente.,1
Atendimento rápido e eficiente.,1
Ambiente limpo e organizado.,1
Ambiente limpo e organizado.,1
Demora na entrega do laudo.,0
Experiência excelente no setor de ressonância.,1
Atendimento rápido e eficiente.,1
Equipe muito atenciosa durante o exame.,1
Ambiente limpo e organizado.,1
Demora na entrega do laudo.,0
Laudo demorou mais do que o esperado.,0
Ambiente limpo e organizado.,1
Ambiente limpo e organizado.,1
Atendimento rápido e eficiente.,1
Equipe muito atenciosa durante o exame.,1
Atendimento rápido e eficiente.,1
Ambiente limpo e organizado.,1
Equipe muito atenciosa durante o exame.,1
Laudo demorou mais do que o esperado.,0
Ambiente limpo e organizado.,1
Demora para realização do exame.,0
Falta de comunicação na recepção.,0
Ambiente limpo e organizado.,1
Demora na entrega do laudo.,0
Experiência excelente no setor de ressonância.,1
Atendimento rápido e eficiente.,1
Demora na entrega do laudo.,0
Experiência excelente no setor de ressonância.,1
Experiência excelente no setor de ressonância.,1
Equipe muito atenciosa durante o exame.,1
Demora na entrega do laudo.,0
Falta de comunicação na recepção.,0
Atendimento rápido e eficiente.,1
Demora para realização do exame.,0
Ambiente limpo e organizado.,1
Ambiente limpo e organizado.,1
Demora na entrega do laudo.,0
Ambiente limpo e organizado.,1
Demora para realização do exame.,0
Atendimento rápido e eficiente.,1
Laudo demorou mais do que o esperado.,0
Experiência excelente no setor de ressonância.,1
Laudo demorou mais do que o esperado.,0
Falta de comunicação na recepção.,0
Laudo demorou mais do que o esperado.,0
Equipe muito atenciosa durante o exame.,1
Falta de comunicação na recepção.,0
Falta de comunicação na recepção.,0
Ambiente limpo e organizado.,1
Laudo demorou mais do que o esperado.,0
Laudo demorou mais do que o esperado.,0
Demora na entrega do laudo.,0
Equipe muito atenciosa durante o exame.,1
Demora na entrega do laudo.,0
Atendimento rápido e eficiente.,1
Demora para realização do exame.,0
Equipe muito atenciosa durante o exame.,1
Falta de comunicação na recepção.,0
Experiência excelente no setor de ressonância.,1
Experiência excelente no setor de ressonância.,1
Ambiente limpo e organizado.,1
Experiência excelente no setor de ressonância.,1
Falta de comunicação na recepção.,0
Demora para realização do exame.,0
Laudo demorou mais do que o esperado.,0
Equipe muito atenciosa durante o exame.,1
Ambiente limpo e organizado.,1
Falta de comunicação na recepção.,0
Falta de comunicação na recepção.,0
Atendimento rápido e eficiente.,1
Ambiente limpo e organizado.,1
Ambiente limpo e organizado.,1
Demora na entrega do laudo.,0
Ambiente limpo e organizado.,1
Falta de comunicação na recepção.,0
Atendimento rápido e eficiente.,1
Demora para realização do exame.,0
Falta de comunicação na recepção.,0
Demora na entrega do laudo.,0
Atendimento rápido e eficiente.,1
Atendimento rápido e eficiente.,1
Demora para realização do exame.,0
Atendimento rápido e eficiente.,1
Falta de comunicação na recepção.,0
Equipe muito atenciosa durante o exame.,1
"Hospital bom e limpo. Há uma grande equipe de médicos e boas instalações de TO. As instalações médicas são ótimas, com bons cuidados pós-operatórios de internação por médicos e enfermeiras. A equipe de limpeza também é boa, mas pode responder às chamadas do quarto um pouco mais rápido.",1
Tive uma experiência muito ruim durante a alta. Eles precisam ser sensíveis e mais transparentes com o paciente e sua família.,1
Visitei para tomar minha segunda dose e o processo foi muito tranquilo. A hospitalidade de todos os funcionários é realmente apreciável. Shanti se cuida bem e dá todos os detalhes antes da vacinação. Obrigado.,1
Há uma grande equipe de médicos e boas instalações de TO.,0
"A minha principal preocupação surgiu da insistência em realizar vários testes, que pareciam não ter relação com a minha condição, antes de iniciar qualquer tratamento.",0
"Hospital bom e limpo.  As instalações médicas são ótimas, com bons cuidados pós-operatórios de internação por médicos e enfermeiras. A equipe de limpeza também é boa, mas pode responder às chamadas do quarto um pouco mais rápido.",1
"No geral a experiência foi boa, desde a recepção, atendimento laboratorial e interação com os médicos. O médico com quem me consultei foi muito simpático. Ele me ouviu com paciência e esclareceu todo o meu estado de saúde.",1
"No entanto, os serviços de front office (onde reportamos primeiro) precisam de ser melhorados (os serviços devem ser rápidos).",1
"Caso contrário, sem queixas, totalmente satisfeito.",1
Obrigado ao médico de emergência Abhishek e ao segurança de lá,1
Eles têm médicos especialistas que administram os medicamentos certos e ajudam os pacientes a se recuperarem rapidamente.,1
Gostei muito do atendimento lá!,1
Hospital sem esperança. Não sei como eles conseguiram JCI e NABH. Eles não têm valor para o tempo dos pacientes ou de seus atendentes.,0
"Recepcionistas só querem dinheiro. Eles não se importam se o médico se atrasar 2 horas, mas dão-lhes dinheiro.",0
Fui atrás do meu pai. Ele tem traqueostomia e todos os problemas. Eles o fizeram esperar 1 hora e disseram para esperar se quiser ou ir embora.,0
"Liguei para eles para marcar consulta, solicitei um médico sênior e busquei seus anos de experiência, eles não querem compartilhar, não há transparência. quando liguei para Appolo eles dão todos os detalhes, experiência e me sinto confortável ao escolher o Doutor. Fortis, por favor, tenha transparência e é direito do paciente.",0
Eu estava tendo problemas relacionados à menopausa e fui consultar um ginecologista.,1
Gostei muito do atendimento lá!,1
Obrigado ao médico de emergência Abhishek e ao segurança de lá,1
Diga olá com as mãos postas e leve o paciente sentado na cadeira de rodas...,1
Notei que o preço lá é um pouco alto. Mas o tratamento é muito bom e o comportamento do médico também é muito bom. então não acho que tal hospital esteja perto do HRS Layout.,1
"Boa experiência, funcionários educados e atendimento oportuno, bem organizado e higiênico",1
uma experiência muito agradável durante a nossa estadia e tratamento no Hospital Fortis de 27-7-2023 a 3-8-2023. Sentimos vontade de ficar em nossa própria casa. Dr.Rajkumar Deshpande e sua equipe realizaram a substituição cirúrgica da coluna C1 e C2 sob a máquina do braço O com sucesso.,1
"Médicos altamente experientes. Suas análises, interações e tratamento são excelentes.",1
Os quartos são muito arrumados e limpos. Muito boa manutenção da casa.,1
As enfermeiras da equipe têm os pés no chão. Seu carinho e hospitalidade são altamente apreciáveis.,1
"No geral, os serviços desde a admissão até a alta são excelentes.",1
Adoramos a hospitalidade dos funcionários e médicos. Eles são muito trabalhadores e se esforçam para garantir a boa saúde e segurança dos pacientes. Dr. Gayathri é um excelente médico que também fornece orientação e apoio emocional,1
"O atendimento hospitalar tem sido muito bom. O paciente foi bem atendido desde a consulta até a alta, tudo tranquilo e sem complicações. Optámos pelo seguro e o tempo de processamento foi rápido.",1
"Sashidhara, cardiologista, fez todos os esforços para diagnosticar o problema e sugeriu a ponte de safena e posteriormente o cirurgião",1
"Dr. Murali Manohar cuidou da operação com grande confiança. No geral, foi uma boa experiência.",1
"Tudo está bem organizado com as diversas salas (para foto, exame de sangue, raio X, consulta médica principal etc) todas situadas ao redor da enorme sala de espera com a sequência que você deve seguir comunicada no balcão de cobrança.",1
Pagamento com cartão é aceito.,1
Estamos muito satisfeitos com o serviço da Fortis. Não há nenhum ponto negativo neste hospital. Bem conservado e muito sistemático. A melhor parte é que seu tempo não será desperdiçado nem por 1 minuto. Obrigado pelos médicos e todos os outros trabalhadores.,1
"Tive uma visita de emergência ao hospital com meu pai, que ficou internado por alguns dias devido a uma cirurgia. Os médicos e funcionários do hospital tiveram o máximo cuidado. O melhor do hospital é que a equipe segue muito bem seus processos e protocolos.",1
Tivemos uma ótima experiência com o hospital.,1
"Dr.Jawali e sua equipe foram muito impressionantes não apenas pela cirurgia e procedimento, mas também pelo acompanhamento pós-operatório do paciente e pela garantia de que ele estava se sentindo absolutamente.",1
Gostaria também de agradecer às enfermeiras da UTI e da enfermaria e a todos os diferentes médicos que estiveram envolvidos para garantir a recuperação do meu pai. Muito obrigado !!!,1
Muito cuidado tomado pela equipe e pelo hospital!! Menção especial ao Dr. Vivek Padegal e ao Dr. Ashish Parekh. Obrigado à enérgica e charmosa enfermeira Sra. Jacqueline pelo cuidado especial durante o tratamento!!,1
Dr Ravindra e equipe foram excelentes.,1
O tratamento dispensado à paciente foi impecável! Todos os funcionários são muito reconhecidos pela dedicação e gentileza dispensada ao paciente durante todo o processo.,1
"Gratidão imensa a toda equipe Fortis por zelar pelo meu bem-estar, garantindo conforto e rápida recuperação.",1
Obrigado mais uma vez pelo seu excelente serviço e compromisso com a excelência. O papel e os esforços de cada um são muito apreciados.,1
Dr. Narayan Hulse é um médico incrível. As enfermeiras também são muito humildes e atenciosas.,1
Meia-noite também são muito rápidos e ativos. Eles estão presentes perto do paciente sempre que necessário.,1
O serviço de alimentação também é muito bom. As governantas estão fazendo seu trabalho com eficiência. O hospital é muito limpo.,1
"Minha co-irmã, de 81 anos, fez uma prótese de joelho durante a cobiça. Pós-operatório teve complicações a dor não diminuiu. Ela ficou totalmente acamada.",1
Conhecemos o Dr. Narayan Hulse no Fortis para ouvir sua opinião. Ele nos deu 100% de garantia e a operou.,1
"Ela agora caminha de forma independente, é claro, com Walker. Ela é sempre grata a ele. Muito obrigado, doutor, por dar a ela outra vida.",1
Não vá comprar o nome do hospital.,0
Pior experiência quando fomos fazer o exame de saúde de corpo inteiro.,0
Não vá comprar o nome do hospital.,0
"Eles não se importam. A única coisa que lhes importa é o dinheiro. Assim que o dinheiro estiver na conta bancária, você estará por conta própria.",0
A equipe do exame de saúde é pior e não sabe administrar as pessoas e dar as devidas orientações.,0
"Se você disser que não tem nenhum problema visível, eles concluirão o exame em menos de um minuto e enviarão você para atender o próximo cliente.",0
"Serviço de má qualidade, desorganizado, sem valor para o tempo das pessoas e caro.",0
"Depois de carregar uma bomba nos pacientes, eles não possuem nenhum sistema instalado.",0
"Marcar uma consulta é uma piada, pois você nunca consegue fazer as coisas dentro do horário marcado.",0
Eles esperam que as pessoas fiquem desempregadas ou em licença indefinida enquanto visitam o hospital para tratamento.,0
"A estrada fora do hospital está cheia de lixo e buracos sujos, a administração do hospital deveria assumir alguma responsabilidade para torná-la acessível para os pacientes e suas famílias.",0
Fiz um pacote completo de check-up de saúde aqui com data e hora marcada. A duração total que deveríamos esperar era de cerca de 5 a 6 horas.,0
Meu apelo sincero por um melhor atendimento ao paciente: uma experiência angustiante no Hospital Fortis,0
Bom hospital e médicos também são bons e eles cuidam super paciência. tudo é super no hospital 🎉…,1
Muito bom hospital e atendimento. Excelentes serviços. Feliz com Fortis,1
Dr. Harsha forneceu um tratamento incrível. As enfermeiras do turno da noite são úteis. A gestão geral foi muito boa.,1
Dr. Gayathri Kamath é um médico muito bom. Muito confiável em quem você pode acreditar. Serviços muito bons no Fortis.,1
O tratamento do Dr.Vivek belatur é super. O tratamento quimioterápico correu bem e sem problemas. Feliz com o Fortis e seus serviços.,1
"Meu pai foi tratado sob a supervisão do Dr. Adil Hasaan e do Dr. Suresh Babu, senhor.",1
"O serviço prestado aqui é bom, com uma equipe muito profissional e amigável. Os médicos eram muito profissionais, experientes e responsáveis.",1
Agradecimentos especiais a Kavita por toda a orientação e apoio que ela nos forneceu até agora.,1
Filas muito lotadas e excessivamente longas. Tente evitar e seja feliz😊😊…,1
Uma equipe tão ruim neste hospital.,0
eles estão cobrando muito por pequenas coisas e o mais importante é unka equipe de segurança Jo apko equipe do hospital se jyada inquérito karte hai n muito comportamento rude como um vagabundo na estrada,0
"O diagnóstico geral, o plano de tratamento e o gerenciamento da recuperação pós-operatória foram super excelentes e tiveram uma recuperação completa sem complicações pós-operatórias, apesar de apresentar um problema de saúde complexo antes da cirurgia.",1
"Toda a equipa médica, Dr. Gayathri da ginecologia, Dr. Sharath Chandra da cirurgia e Dr. Sudha da medicina interna, Dr. Shwetha da ginecologia e do pessoal de enfermagem, deram-nos o melhor tratamento e excelente apoio psicológico.",1
"Eles estiveram conosco em todas as etapas planejando o melhor tratamento para mim e também dando confiança e apoio mental, para que nos sentíssemos em casa.",1
"Esta equipa de médicos foi muito simpática, acessível, orientada para o serviço, altruísta e extremamente profissional. Mais uma vez um grande obrigado do fundo do coração",1
"Dr Mohan Keshavamurthy e equipe Todos os médicos, Todo o pessoal de enfermagem, especialmente o pessoal do 6º andar, Jeena Davis supervisora ​​de enfermagem... Agradecemos a todos e cada um pelo seu apoio.....",1
Sempre bom,1
"Dr. Manisha Rajpal Singh tratou de laparoscopia, histeroscopia, dilatação e curetagem, cauterização cervical, excisão de endometrose ovariana bilateral. Viemos de Bangladesh especificamente para consultar o médico.",1
"O médico é muito profissional, atencioso. Dr. Roopa da equipe também. Os cuidados de enfermagem são excelentes. Higiene pelas equipes de apoio",1
Fiz um exame de saúde de imigração aqui no Fortis Hospital Bannargetta.,1
"foi uma experiência incrível e equipes prestativas, especialmente a Sra. Pobrenima, a Sra. Manjula e Santhosh",1
Visitamos o hospital para substituir o joelho de minha mãe e o Dr. Narayan Hulse a tratou muito bem e também explicou os mínimos detalhes.,1
"Concluída a cirurgia, minha mãe se recuperou bem e graças a Narayan Hulse e equipe que trataram bem e junto com fisioterapia, enfermagem e departamento de limpeza.",1
Excelente tratamento no Fortis bannergatta. O tratamento do Dr. Anil Kumar Kustagi deixou meu filho em alta. As equipes de enfermagem são excelentes.,1
"Dr. Mohan Keshavamurthy operou cálculo renal com tratamento a laser. Em geral, os serviços de tratamento são bons. A equipe noturna de enfermagem foi muito atenciosa.",1
Tive uma experiência melhor no tratamento de minha mãe no hospital fortis pelo Dr. Shashidhara,1
Sinta-se em reverência ao Dr. Narayan Hulse. Ele é um ótimo médico. Fiquei relaxado quando ouvi dele sobre a cirurgia.,1
"Muito obrigado ao Dr. Narayan Hulse. As enfermeiras Mahalakshmi, Shalini, Nivetha e muitos outros me atenderam. Muito atencioso. A equipe de fisioterapia é excelente em seu trabalho.",1
"Dr. Mohan Keshavamurthy fez minha cirurgia. Enfermeiras incluindo Josena, Parimala são muito atenciosas.",1
O atendimento e a hospitalidade oferecidos pela equipe (de todos os departamentos) e pelo Fortis como um todo são excelentes.,1
"Mais importante ainda, o médico assistente, Sr. Ravindra BS, e todo o departamento de Gastroenterologia foram eficazes no diagnóstico adequado do problema de saúde.",1
"O tratamento ministrado pelo Dr.Ravindra e Equipe trouxe muitas melhorias na minha saúde e capaz de enfrentar minha vida como uma pessoa muito saudável e confiante. Obrigado novamente por tudo. Por favor, continuem com o bom trabalho!!",1
Dr. Shabeer Ahmed é um médico muito bom. Ele nos explicou tudo claramente e um tratamento incrível foi fornecido,1
"Meu marido está bem. A CABG é realizada pelo Dr. Vivek Jawali e pela equipe Dr. Murali Manohar, Dr. Sudarshan, Dr. Nikhil.",1
"Feliz com o atendimento muito bom dos médicos e funcionários. As equipes da UTI são excelentes. Polina, Prafulla, Priya toi são excelentes. Muito obrigado às equipes de suporte também.",1
Dr. Ravindra é sem dúvida um médico incrível. A eficiência do tratamento ajudou a curar meus problemas de saúde. Os enfermeiros também prestam um bom serviço.,1
A revisão é para exame de saúde mestre.,0
Fluxo de pacientes mal gerenciado.,0
Eles marcam mais compromissos do que capacidade.,0
Minha esposa foi fazer um check-up em Fortis e meu amigo foi para Hiranandani em Mumbai. Começou no mesmo horário às 8h de hoje. Amigo finalizou o processo às 11h30. A esposa terminou às 16h. Evite fazer um exame de saúde mestre.,0
Excelentes instalações e serviços médicos.,1
Dr. Ravindra é sem dúvida um médico incrível. A eficiência do tratamento ajudou a curar meus problemas de saúde. Os enfermeiros também prestam um bom serviço.,1
"Consultamos o Dr.Sudarshan GT, eles nos trataram muito bem. Estamos satisfeitos com o atendimento hospitalar.",1
Dr Vivek Belathur é um oncologista muito bom. feliz com seu tratamento. A senhora Kavitha é muito prestativa e gentil.,1
"Feliz por ser tratado pelo Dr. Vivek Belathur, o melhor oncologista de Bangalore. Seu atendimento ao paciente é maravilhoso.",1
Todas as equipes são atenciosas e responsáveis. A Sra. Kavitha é uma pessoa incrível que é muito prestativa em todas as etapas do tratamento.,1
Tenho visitado para tratamento de câncer. Suresh Babu está coordenando o tratamento e a experiência com o médico e o hospital tem sido boa.,1
Boa resposta do médico e da equipe Tq,1
"Diagnóstico, tratamento e cuidados são bons",1
Hospital sem esperança. Não sei como eles conseguiram JCI e NABH. Eles não têm valor para o tempo dos pacientes ou de seus atendentes.,0
"Recepcionistas só querem dinheiro. Eles não se importam se o médico se atrasar 2 horas, mas dão-lhes dinheiro.",0
Fui atrás do meu pai. Ele tem traqueostomia e todos os problemas. Eles o fizeram esperar 1 hora e disseram para esperar se quiser ou ir embora.,0
"Liguei para eles para marcar consulta, solicitei um médico sênior e busquei seus anos de experiência, eles não querem compartilhar, não há transparência. quando liguei para Appolo eles dão todos os detalhes, experiência e me sinto confortável ao escolher o Doutor. Fortis, por favor, tenha transparência e é direito do paciente.",0
Eu estava tendo problemas relacionados à menopausa e fui consultar um ginecologista.,0
"ei, me deixaram esperando até as 16h e depois de vários pedidos me deixaram vê-la. Foi uma pena para mim ter feito um check-up com esse ginecologista bastante rude e muito arrogante.",0
Não apliquei anestesia e esfaqueei diretamente (esta é a palavra certa) minha vagina. Aconteceu há 8 anos.,0
Depois desse incidente perdi a sensibilidade nessa parte. Eu poderia ter saído do hospital sem vê-la se o hospital não tivesse cobrado a taxa antecipadamente.,0
"É uma má prática o hospital cobrar a taxa antecipadamente. Portanto, os pacientes estejam alertas ao selecionar seu médico.",0
Alguns médicos são muito bons...,1
"Eu tinha um repositório muito bom para os hospitais Fortis, mas não mais... eles são bons para si próprios, bons para ganhar dinheiro contratando esses médicos...",0
"E caminhar do estacionamento até o hospital parece uma masmorra, sob canos barulhentos próximos a salas de bombas e tudo o mais. Verdadeiramente assustador.",0
"O serviço administrativo é tão irresponsável para o departamento ortopédico que, apesar de coletar fichas, eles não me cobraram por horas.",0
"Marquei consulta para 11h e agora são 12h30, mas ainda não consegui ir ao médico, as recepcionistas são tão rudes que não se importam se o paciente está sofrendo com o atraso no faturamento. Eles trabalham tão devagar que o paciente tem que esperar tanto tempo.",0
"Rajpal, do departamento de cardiologista, todo esse hospital Fortis e o aplicativo myFortis são uma farsa total. Eles assumiram as taxas da consulta, mesmo quando a consulta foi cancelada eles não devolveram o valor. De 12 de julho a novembro não recebi o reembolso.",0
"Quero dizer, se você é tão antiquado e analfabeto que nem sabe que o PDF do extrato da conta e a caderneta física mostrariam os mesmos registros, então por que você está tentando obter um aplicativo para o seu hospital?",0
Pior hospital. Simplesmente saquear pessoas com cobranças muito altas. Na emergência só tinha 1 enfermeiro que não tinha condições de dar conta de tudo. No faturamento há apenas uma pessoa sentada causando transtornos à fila enorme. Só vá lá se tiver muito dinheiro.,0
"Altamente decepcionado com o serviço de segurança, muito arrogante, fala por todos os títulos e balcão de admissão São muito desperdício para o suporte ao cliente. Soluções não fornecidas para a ala, Reservas, Gerente de faturamento Ram é muito descuidado, fala pelos clientes que não receberam soluções adequadas.",0
"Paguei quase 20 faltas no último ano, mas na semana passada estou muito decepcionado com o contador de admissões, o gerente de cobrança e os títulos....",0
Um dos piores hospitais de toda a Índia. Os médicos visitam o paciente internado apenas uma vez por dia com um conhecimento totalmente absurdo. Enfermeira e administração não profissional que trata os pacientes como materiais. As despesas são patéticas quem leva 50 mil apenas para investigação do paciente.,0
"Por último, mas não menos importante, o Dr. Balaji e o Dr. Ravindra foram excelentes e merecem trabalhar em um hospital melhor, que valorize melhor os pacientes.",1
Um dos piores hospitais com um ou os piores serviços.,0
"Eles não se importam com os pacientes, tudo o que importa é o dinheiro. Queria fazer alguns exames de sangue, tentei entrar em contato com o departamento de exames de saúde, mas ninguém atendeu. Quando ligamos para o atendimento ao cliente, eles dizem para ligar para o departamento de check-up de saúde. Fiz pelo menos 15 ligações e saí sem resposta.",0
"Como era importante que o teste fosse feito apenas neste hospital em particular, fui até lá, que fica a cerca de 8 km da minha casa, para marcar uma consulta, mas lá também me deram um número de contacto. Mais uma vez, que ninguém atendeu.",0
"Em um dos piores hospitais, minha mãe foi internada, ela estava com fração de ejeção do coração de 35℅, mas eles deram informações falsas dizendo 15℅ no relatório e o médico cardiologista venkatesh nos ligou perguntando sobre nossas informações financeiras.",0
Os médicos parecem se preocupar mais em seguir os procedimentos administrativos do que em curar. A farmácia não é eficiente e não vende remédios de acordo com a dosagem. Eles só se preocupam em maximizar o lucro vendendo remédios em tiras inteiras ao invés de quanto os pacientes precisam!,0
"Serviços muito ruins. Fiz minha hemocultura em 9 de junho de 2023. Até agora nenhum relatório. Também fui internado, devo dizer, é um dos hospitais mais patéticos. Os médicos não vêm. As enfermeiras têm que ser lembradas de dar remédio. A comida é patética, fede. Pense duas vezes.",0
"Fui fazer um serviço de equipamento no hospital, os seguranças no portão dos fundos são muito pouco profissionais.",0
"Altamente decepcionado com o serviço de segurança, muito arrogante, fala por todos os títulos e balcão de admissão São muito desperdício para o suporte ao cliente. Soluções não fornecidas para a ala, Reservas, Gerente de faturamento Ram é muito descuidado, fala pelos clientes que não receberam soluções adequadas.",0
"Paguei quase 20 faltas no último ano, mas na semana passada estou muito decepcionado com o contador de admissões, o gerente de cobrança e os títulos....",0
Conheci a Dra Niti Raizada para tratamento de micose fungóide. A equipe nos atendeu muito bem. Meu marido teve infecção secundária e foi bem cuidado. Os serviços de enfermagem e a hospitalidade foram muito bons.,1
Todos os serviços são bons. Médicos e enfermeiros são muito bons. Mohan Keshavamurthy é um médico incrível. A enfermeira Joseena nos ajudou sempre que precisávamos. O hospital é limpo e bem conservado.,1
"Dr. Rajpal Singh e Dr. Jyothi são os melhores médicos. Eles trouxeram fé em nós. A sua abordagem para connosco é humana e está regularmente disponível, demonstrando-nos o máximo cuidado. No geral, tivemos uma experiência muito agradável. Tudo é mantido bem. Grato a todos os enfermeiros que me ajudaram a recuperar.",1
"Prasanth kesari trata bem o paciente e operou muito bem a lesão no dedo da minha filha e estamos satisfeitos com isso. A enfermeira Anju, Sneha, Anshu, Dhaya foram muito gentis e atenciosos.",1
Dr. Ajay Rao é um excelente oncologista. Estamos impressionados com seu tratamento e cuidado prestado à minha mãe. Os serviços de enfermagem são maravilhosos pela Sra. Ankamma e pela Sra. Sai Rahithya.,1
"Dr. Shivananda Patil é extraordinário.... UTI do 3º andar, Bro Manikandan D, Sis Soumya são excelentes. Enfermeiros e equipes de limpeza na UTI e no 6º andar estão fazendo um bom trabalho. Obrigado pelo seu serviço maravilhoso. Obrigado Dr. Shivanand Patil, senhor.",1
A Dra. Sheela Chakravarthy é como uma médica de família. Sempre a consultamos sobre quaisquer questões da minha família. Muito gentil e gentil. As equipes de enfermagem são extremamente prestativas e pontuais. Tudo correu bem. Obrigado à médica e sua equipe.,1
Dr. Naveen D é um médico muito experiente. A substituição do joelho da minha mãe foi feita por ele. Ele fez um bom trabalho. estamos muito satisfeitos com sua equipe. obrigado senhor pelo excelente cuidado e apoio de sua equipe,1
O tratamento do Dr. Suresh Babu é muito bom. Viemos para tratamento de quimioterapia na creche. Os serviços são excelentes e estamos muito felizes. Os funcionários são muito cooperativos e gentis. Feliz com Fortis.,1
Manish Joshi e Dr. Shashikiran trataram meu marido. O tratamento que lhe é fornecido é muito útil para sua recuperação. A equipe de enfermagem também é muito atenciosa.,1
"Meu pai fez uma cirurgia colorretal e de vesícula biliar realizada pelo Dr. Shabbir Ahmad, e todos ficamos impressionados com sua paciência e natureza atenciosa.",1
"Anil Kumar Anand Kustagi forneceu um tratamento incrível que ajudou na recuperação rápida. As enfermeiras, especialmente Teena, cuidaram de nós com muito cuidado.",1
"A música de Savio mudou o clima e diminuiu o estresse. Obrigado pela música. Obrigado ao Dr. Nagabhusan, senhor e à Dra. Divya, senhora, por nos apoiar.",1
"Estou muito impressionado com o Dr. Narayan Hulse. Muito atencioso, inteligente e compassivo com seu trabalho. Ele me deu confiança para me submeter à substituição bilateral do joelho, então o fiz e estou muito feliz com minha decisão. Grande personalidade.",1
Dr. Raju G H aconselhou tratamento para pedra na vesícula biliar. Ele é um excelente médico com humanidade. As equipes de enfermagem do 6º andar são muito atenciosas. O processo é muito rápido em comparação com outros hospitais.,1
